title,url,timestamp,author,editor,content,content_images,tags
"Program Doktor Sarjana Unggul, Beasiswa Studi Doktor bagi Sarjana",https://itb.ac.id/berita/program-doktor-sarjana-unggul-beasiswa-studi-doktor-bagi-sarjana/3922,"Selasa, 21 - Mei - 2013, 09:15:59",Muhammad Fikri,Muhammad Fikri,,"[""https://itb.ac.id/files/87/20130521/1369102532.jpg"", ""https://itb.ac.id/files/87/20130521/1369102532.jpg""]",[]
Muslim Muin Ph.D.: 'Jakarta Tak Perlu Bangun Giant Sea Wall',https://itb.ac.id/berita/muslim-muin-phd-jakarta-tak-perlu-bangun-giant-sea-wall/3918,"Minggu, 19 - Mei - 2013, 20:38:13",Nida Nurul Huda,Nida Nurul Huda,,"[""https://itb.ac.id/files/100/20130517/1368792903.jpg"", ""https://itb.ac.id/files/100/20130517/1368792903.jpg""]",[]
"Berbekal Ide Taman Organik, Tim ITB Bersiap Melaju ke Global Student Challenge 2013",https://itb.ac.id/berita/berbekal-ide-taman-organik-tim-itb-bersiap-melaju-ke-global-student-challenge-2013/3917,"Kamis, 16 - Mei - 2013, 06:47:24",Hafshah Najma Ashrawi,Hafshah Najma Ashrawi,,"[""https://itb.ac.id/files/98/20130514/1368542834.jpg""]",[]
BPF 2013: Ciptakan Kedekatan Manusia dengan Ruang Publik,https://itb.ac.id/berita/bpf-2013-ciptakan-kedekatan-manusia-dengan-ruang-publik/3916,"Selasa, 14 - Mei - 2013, 10:53:21",Nida Nurul Huda,Nida Nurul Huda,"BANDUNG, itb.ac.id - Komunitas Mahasiswa Desain Produk (INDDES ITB) menggelar pameran Bandung Public Furniture (BPF) 2013. Pameran yang bertempat di Monumen Perjuangan Bandung dilaksanakan pada Jumat-Sabtu (10-11/05/13).","[""https://itb.ac.id/files/100/20130512/1368339453.jpg""]",[]
ITB dan Kementerian Perdagangan Kembali Selenggarakan Program Diploma III Metrologi,https://itb.ac.id/berita/itb-dan-kementerian-perdagangan-kembali-selenggarakan-program-diploma-iii-metrologi/3915,"Minggu, 12 - Mei - 2013, 18:17:26",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130512/1368357376.jpg""]",[]
Gita Wirjawan Bangkitkan Semangat Mahasiswa lewat Studium Generale,https://itb.ac.id/berita/gita-wirjawan-bangkitkan-semangat-mahasiswa-lewat-studium-generale/3913,"Jumat, 10 - Mei - 2013, 13:11:03",Medhira Handinidevi,Medhira Handinidevi,,"[""https://itb.ac.id/files/99/20130510/1368158679.jpg""]",[]
Mahasiswa ITB Wakili Indonesia dalam HSBC Asia Pacific Business Case 2013 di Hongkong,https://itb.ac.id/berita/mahasiswa-itb-wakili-indonesia-dalam-hsbc-asia-pacific-business-case-2013-di-hongkong/3912,"Kamis, 9 - Mei - 2013, 11:54:23",Ria Ayu Pramudita,Ria Ayu Pramudita,,"[""https://itb.ac.id/files/88/20130509/1368075174.jpg""]",[]
SBM ITB Jalin Kerja Sama dengan PPI UK dalam Proyek Palapa 2013,https://itb.ac.id/berita/sbm-itb-jalin-kerja-sama-dengan-ppi-uk-dalam-proyek-palapa-2013/3906,"Selasa, 7 - Mei - 2013, 21:53:24",Diviezetha Astrella Thamrin,Diviezetha Astrella Thamrin,"BANDUNG, itb.ac.id - Dalam rangka mengglobalkan ide dan karya mahasiswa-mahasiswa Indonesia, dalam bidang industri kreatif, Sekolah Bisnis dan Manajemen (SBM) ITB menjalin kerja sama dengan Persatuan Pelajar Indonesia di Inggris (PPI UK). Kerja sama ini terjalin dalam bentuk Proyek Palapa, sebuah proyek yang diinisiasikan oleh PPI UK yang bergerak di sektor seni dan industri kreatif.","[""https://itb.ac.id/files/92/20130507/1367938315.jpg"", ""https://itb.ac.id/files/92/20130507/1367938315.jpg""]",[]
Waspada PENIPUAN,https://itb.ac.id/berita/waspada-penipuan/3905,"Kamis, 2 - Mei - 2013, 17:48:48",Muhammad Fikri,Muhammad Fikri,,[],[]
Diskusi Peringatan Hari Kartini Dorong Guru Perempuan untuk Berani,https://itb.ac.id/berita/diskusi-peringatan-hari-kartini-dorong-guru-perempuan-untuk-berani/3904,"Kamis, 2 - Mei - 2013, 15:40:09",Neli Syahida,Neli Syahida,,"[""https://itb.ac.id/files/91/20130502/1367483322.jpg""]",[]
"Seminar Mahasiswa Penerima Bidik Misi: Beat Your Bad Habits, Build Your Good Habits",https://itb.ac.id/berita/seminar-mahasiswa-penerima-bidik-misi-beat-your-bad-habits-build-your-good-habits/3903,"Kamis, 2 - Mei - 2013, 14:54:17",Akbar Syahid Rabbani,Akbar Syahid Rabbani,,"[""https://itb.ac.id/files/97/20130502/1367480999.jpg"", ""https://itb.ac.id/files/97/20130502/1367480999.jpg""]",[]
Pagelaran PSTK ITB: Lembah Serayu Suradira Jayaningrat,https://itb.ac.id/berita/pagelaran-pstk-itb-lembah-serayu-suradira-jayaningrat/3902,"Kamis, 2 - Mei - 2013, 10:53:57",Hafshah Najma Ashrawi,Hafshah Najma Ashrawi,,"[""https://itb.ac.id/files/98/20130502/1367466645.jpg""]",[]
Titian Karir Terpadu 2013: Membuka Peluang Karir di Berbagai Perusahaan,https://itb.ac.id/berita/titian-karir-terpadu-2013-membuka-peluang-karir-di-berbagai-perusahaan/3901,"Rabu, 1 - Mei - 2013, 17:24:08",Vernida Mufidah,Vernida Mufidah,,"[""https://itb.ac.id/files/81/20130501/1367403812.jpg""]",[]
Sertifikasi QWP: Rencanakan Keuangan Sejak Dini,https://itb.ac.id/berita/sertifikasi-qwp-rencanakan-keuangan-sejak-dini/3900,"Senin, 29 - April - 2013, 17:44:25",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130429/1367216059.jpg""]",[]
Japan Study Fair 2013: Alternatif Studi Lanjutan Selain Eropa,https://itb.ac.id/berita/japan-study-fair-2013-alternatif-studi-lanjutan-selain-eropa/3892,"Senin, 22 - April - 2013, 10:50:36",Ahmad Furqan Hala,Ahmad Furqan Hala,,"[""https://itb.ac.id/files/96/20130421/1366512927.jpg"", ""https://itb.ac.id/files/96/20130421/1366512927.jpg""]",[]
Seminar dan Talkshow Gen-Reon 2013: Gali Potensi Industri Game Anak Negeri,https://itb.ac.id/berita/seminar-dan-talkshow-gen-reon-2013-gali-potensi-industri-game-anak-negeri/3891,"Senin, 22 - April - 2013, 10:49:04",Nida Nurul Huda,Nida Nurul Huda,,"[""https://itb.ac.id/files/100/20130422/1366601845.jpg""]",[]
EXPO IEC 2013: Lahirkan Pengusaha-Pengusaha Muda Indonesia,https://itb.ac.id/berita/expo-iec-2013-lahirkan-pengusaha-pengusaha-muda-indonesia/3888,"Jumat, 19 - April - 2013, 12:09:48",Diviezetha Astrella Thamrin,Diviezetha Astrella Thamrin,,"[""https://itb.ac.id/files/12/20130430/1367321881.jpg"", ""https://itb.ac.id/files/12/20130430/1367321881.jpg""]",[]
Desain Produk Berkarya 2013: Design Possibilities,https://itb.ac.id/berita/desain-produk-berkarya-2013-design-possibilities/3887,"Kamis, 18 - April - 2013, 20:00:27",Medhira Handinidevi,Medhira Handinidevi,,"[""https://itb.ac.id/files/99/20130418/1366288466.jpg"", ""https://itb.ac.id/files/99/20130418/1366288466.jpg""]",[]
Mahasiswa ITB Dominasi Final Imagine Cup Indonesia 2013,https://itb.ac.id/berita/mahasiswa-itb-dominasi-final-imagine-cup-indonesia-2013/3886,"Kamis, 18 - April - 2013, 19:52:52",Ria Ayu Pramudita,Ria Ayu Pramudita,,"[""https://itb.ac.id/files/88/20130418/1366289502.jpg"", ""https://itb.ac.id/files/88/20130418/1366289502.jpg""]",[]
